query_id,answer
438,4234 1909 4396 4328 4308 4403 1907 1958 1951 4286
439,4440 2894 2968 4008 2217 2220 2696 2204 3932 4389
440,4219 2646 4395 4214 4424 3026 4389 4384 3078 2962
441,4219 2646 4234 4361 4308 1909 4440 1951 4384 4389
442,4395 4219 2646 4424 4214 4313 4384 3026 4389 3078
443,4219 2865 4400 1966 2646 4403 2696 4384 4387 3844
444,4451 4214 2698 4447 4366 3478 4227 2665 4460 3314
445,4286 4328 4396 4234 1899 1907 4308 1951 1909 3436
446,4423 4364 2908 4232 4327 2910 4426 2693 4318 4372
447,4387 4219 2646 4384 2865 1958 4400 1966 2408 4407
448,4400 4219 1966 2865 4387 4384 2646 2696 2831 4403
449,4387 4219 1958 4400 2646 1966 4384 2865 4403 2408
450,4219 2865 4400 4234 4361 1951 1966 4328 3467 4384
451,1951 3467 4214 4234 2911 4308 2232 4532 4320 2646
452,4219 2646 4384 4308 4389 4214 3565 4361 3127 4440
453,4440 4389 4219 2894 4384 2886 3254 2220 3565 2646
454,4400 4387 4361 4451 4234 4403 4219 4178 1958 2203
455,1951 4234 4403 2698 4361 4308 4532 2646 3467 4214
456,4361 4440 4219 4234 4406 4384 1966 2646 3844 2943
457,1951 4234 3467 4308 2646 1909 1899 4396 4532 4362
458,2222 3862 4433 4440 4320 2918 4354 2902 4307 2911
459,4423 4318 4364 4372 3028 4047 2917 2909 2908 4012
460,4219 2865 2646 4400 1966 4384 4361 3844 4403 2408
461,4219 4395 4214 2646 4424 2665 3026 4384 2943 4389
462,4234 2222 4440 4316 4433 4388 3862 4354 3254 2886
463,4219 4384 1966 2646 2865 4361 4440 4389 4400 2943
464,4219 4384 2646 2865 1966 4361 2943 4440 4218 2696
465,4219 4387 2865 1966 2646 4384 4400 3844 2696 1958
466,4440 2222 3256 2831 3859 2906 4351 4389 2904 2905
467,1951 4234 2698 4214 4403 4308 4286 4331 1958 4396
468,2222 4440 4307 4008 4266 2968 4433 2663 4389 4134
469,4440 2222 4307 4008 4389 4396 4134 2663 2794 2217
470,4219 4400 1966 4384 2865 2646 4387 2943 1958 4361
471,4451 3580 3889 4361 4219 4373 4276 4304 4207 4218
472,4224 3993 4134 4276 2895 2095 4307 4433 2217 4266
473,4219 4440 1966 4384 2646 4361 3078 4313 4389 4312
474,1951 3467 4214 4366 4320 2698 4308 4234 4286 4362
475,4440 2894 2886 4389 2220 2696 3254 2288 3128 2253
476,4440 2894 2696 2886 4389 2220 3254 3643 2288 3128
477,4440 2968 2663 2894 2253 3552 4389 2794 2220 2661
478,4219 2646 4387 4384 1966 2865 4400 2408 4509 3567
479,4328 4234 1909 4308 4396 4286 1901 1951 1907 4362
480,4219 4400 1966 2865 4384 2646 4387 3470 3078 2696
481,4440 2968 2222 4008 2663 2217 2204 3932 3128 2203
482,4214 2698 4234 1958 2646 1951 4396 1901 4362 4308
483,4328 4286 4396 3436 4551 1909 1907 2238 4408 2920
484,4219 1966 2646 2865 4384 4387 4400 2944 4440 2521
485,4219 4400 2865 1966 2646 4387 4403 4361 1958 2943
486,4219 4389 4308 2646 4396 4283 4384 4361 3565 1951
487,4234 1909 4308 4396 4328 3265 2646 4362 4331 4446
488,1951 3467 4234 3861 4396 4286 4308 4214 4532 1899
489,4214 2698 2665 1951 4451 4234 2646 4219 4395 4361
490,4219 2646 4384 4308 4440 1966 4234 4389 4400 4361
491,4219 4395 2646 4214 4424 4389 3026 4440 2698 4384
492,4387 4219 4384 1966 2646 2865 1958 4400 4361 4440
493,4440 2663 2203 3128 2204 3932 2207 2886 2894 3525
494,4214 2698 1951 4234 4451 4308 2665 3467 4290 4219
495,4423 4364 4232 4207 4372 2215 2908 2910 2937 4318
496,4234 2646 4361 1909 4219 4308 4384 1966 2865 1958
497,4395 4219 2646 4214 4361 4424 4389 2521 4387 1966
498,4219 4400 2646 2865 1958 4387 1966 4361 4384 2943
499,2698 4214 3995 2665 1951 1901 4234 4308 4362 4451
500,4451 2698 4234 4433 4362 4214 4440 2222 1909 2928
